NOMBRE CANTON,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,NOMBRE RECINTO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,3,SAN ALFONSO,UNIDAD EDUCATIVA LIBERTADOR BOLIVAR,1,1,2,1,1,1,1
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,6,SAN GERARDO,UNIDAD EDUCATIVA 5 DE JUNIO,1,1,2,1,1,1,1
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,5,BELLA RICA,ESCUELA DE EDUCACION BASICA EL DIAMANTE,1,1,2,1,1,1,1
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,4,SANTA MARTHA,ESCUELA DE EDUCACIÓN BÁSICA 16 DE ENERO,1,1,2,1,1,1,1
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,2,ZHUMIRAL,UNIDAD EDUCATIVA VÍCTOR GERARDO AGUILAR/ESCUELA VICTOR GERARDO AGUILAR,3,2,5,1,3,1,2
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,COLEGIO DE BACHILLERATO PONCE ENRIQUEZ,7,7,14,1,7,1,7
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,ESCUELA MIGUEL HEREDIA CRESPO,5,5,10,8,12,8,12
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,ESCUELA DE EDUCACION BASICA MERCEDES CRESPO DE VEGA,4,5,9,17,20,17,21
CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,UNIDAD EDUCATIVA PARTICULAR DIVINO NIÑO,4,4,8,13,16,13,16
CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,0,,ESCUELA DE EDUCACIÓN BÁSICA 16 DE JULIO,2,2,4,1,2,1,2
CHORDELEG,CHORDELEG,0,,UNIDAD EDUCATIVA CHORDELEG/ COLEGIO NACIONAL CHORDELEG,6,6,12,1,6,1,6
CHORDELEG,CHORDELEG,0,,ESCUELA DE EDUCACION BASICA SOR MARIA DE SANTO TOMAS ALVARADO,5,3,8,7,11,7,9
CHORDELEG,LA UNION,0,,ESCUELA DE EDUCACIÓN BÁSICA AURELIO BAYAS MARTINEZ,2,1,3,1,2,1,1
CHORDELEG,LUIS GALARZA O. (DELEGSOL),0,,ESCUELA DE EDUCACIÓN BÁSICA JOAQUIN MARTINEZ,2,1,3,1,2,1,1
CHORDELEG,PRINCIPAL,0,,UNIDAD EDUCATIVA FASAYÑAN,2,1,3,1,2,1,1
CHORDELEG,SAN MARTIN DE PUZHIO,0,,ESCUELA DE EDUCACIÓN GENERAL BÁSICA RAFAEL ROMERO Y CORDERO,1,1,2,1,1,1,1
CUENCA,BAÑOS,1,BAÑOS,UNIDAD EDUCATIVA ALFONSO CARRION HEREDIA ,6,6,12,18,23,18,23
CUENCA,BAÑOS,1,BAÑOS,ESCUELA DE EDUCACIÓN BÁSICA ENRIQUETA CORDERO DAVILA,7,7,14,11,17,11,17
CUENCA,BAÑOS,1,BAÑOS,UNIDAD EDUCATIVA  MANUEL CORDOVA GALARZA ,10,10,20,1,10,1,10
CUENCA,BAÑOS,1,BAÑOS,UNIDAD EDUCATIVA BORJA-ESCUELA,12,8,20,24,35,24,31
CUENCA,BAÑOS,2,COCHAPAMBA,ESCUELA DE EDUCACION BASICA MEDARDO NEIRA GARZON,1,1,2,1,1,1,1
