Nombre,Parroquia,Zona,M_Desde,M_Hasta,F_Desde,F_Hasta
UNIDAD EDUCATIVA LIBERTADOR BOLIVAR,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,c32b4bb4-7bc3-4f88-a58c-fb05f42d94cc,1,1,1,1
UNIDAD EDUCATIVA 5 DE JUNIO,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,d88b1cf0-85f7-410d-8e6a-9ab2695a0f28,1,1,1,1
ESCUELA DE EDUCACION BASICA EL DIAMANTE,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,148c7347-558e-47e8-9267-05be2e40ae3f,1,1,1,1
ESCUELA DE EDUCACIÓN BÁSICA 16 DE ENERO,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,6e0a2a30-f64d-4160-b94b-dff26da2f269,1,1,1,1
UNIDAD EDUCATIVA VÍCTOR GERARDO AGUILAR/ESCUELA VICTOR GERARDO AGUILAR,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,d3a165e0-5b84-4b03-9ca0-8a5c86ca97a3,1,2,1,3
COLEGIO DE BACHILLERATO PONCE ENRIQUEZ,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,9560da14-e39d-48e5-9291-2c6d26543c11,1,7,1,7
ESCUELA MIGUEL HEREDIA CRESPO,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,9560da14-e39d-48e5-9291-2c6d26543c11,8,12,8,12
ESCUELA DE EDUCACION BASICA MERCEDES CRESPO DE VEGA,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,9560da14-e39d-48e5-9291-2c6d26543c11,17,21,17,20
UNIDAD EDUCATIVA PARTICULAR DIVINO NIÑO,8fe244aa-3e6b-4ef2-b517-2bc6d62eed87,9560da14-e39d-48e5-9291-2c6d26543c11,13,16,13,16
ESCUELA DE EDUCACIÓN BÁSICA 16 DE JULIO,fc800d3f-910c-4a35-baf1-9a66da139fa1,,1,2,1,2
UNIDAD EDUCATIVA CHORDELEG/ COLEGIO NACIONAL CHORDELEG,fd4de7c4-a338-46b2-86bd-6ba53cff3728,,1,6,1,6
